asin,title,author,stars,price,isKindleUnlimited,publishedDate,category_name
B00TZE87S4,"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents",Lindsay C. Gibson,4.8,9.99,False,2015-06-01,Parenting & Relationships
B08WCKY8MB,"From Strength to Strength: Finding Success, Happiness, and Deep Purpose in the Second Half of Life",Arthur C. Brooks,4.4,16.99,False,2022-02-15,Parenting & Relationships
B09KPS84CJ,Good Inside: A Guide to Becoming the Parent You Want to Be,Becky Kennedy,4.8,16.99,False,2022-09-13,Parenting & Relationships
B07S7QPG6J,Everything I Know About Love: A Memoir,Dolly Alderton,4.2,9.95,True,2020-02-25,Parenting & Relationships
B00N6PEQV0,The Seven Principles for Making Marriage Work: A Practical Guide from the Country's Foremost Relationship Expert,John Gottman,4.7,13.99,False,2015-05-05,Parenting & Relationships
B000OVLKMM,The Glass Castle: A Memoir,Jeannette Walls,4.6,13.99,False,2005-03-01,Parenting & Relationships
B00AEBEQUK,Expecting Better: Why the Conventional Pregnancy Wisdom Is Wrong--and What You Really Need to Know (The ParentData Series Book 1),Emily Oster,4.6,14.99,False,,Parenting & Relationships
B0BN5742KY,Never Enough: When Achievement Culture Becomes Toxic-and What We Can Do About It,Jennifer Breheny Wallace,4.6,15.99,False,2023-08-22,Parenting & Relationships
B098PXH8CK,Unmasking Autism: Discovering the New Faces of Neurodiversity,Devon Price,4.7,12.99,False,2022-04-05,Parenting & Relationships
B087D5YQXB,"What Happened to You?: Conversations on Trauma, Resilience, and Healing",Oprah Winfrey,4.7,14.99,True,2021-04-27,Parenting & Relationships
B00AN2JPNI,Moms on Call | Basic Baby Care 0-6 Months | Parenting Book 1 of 3 (Moms On Call Parenting Books),Laura Hunter LPN,4.7,24.99,False,,Parenting & Relationships
B0B69SQNJY,A Little Pinprick (Rainey Paxton Series Book 1),Paige Dearth,4.6,5.99,True,,Parenting & Relationships
B07FZPTDJ3,"Cribsheet: A Data-Driven Guide to Better, More Relaxed Parenting, from Birth to Preschool (The ParentData Series Book 2)",Emily Oster,4.7,14.99,False,,Parenting & Relationships
B0BN4RB7L9,The Daddy Diaries: The Year I Grew Up,Andy Cohen,4.5,14.99,False,2023-05-09,Parenting & Relationships
B0BNWSS8H3,"The Cruise: The brand new feel good, funny read guaranteed to make you smile!",Caroline James,4.2,2.99,False,2023-04-20,Parenting & Relationships
B0B3Y8QQ6R,You Could Make This Place Beautiful: A Memoir,Maggie Smith,4.5,14.99,False,2023-04-11,Parenting & Relationships
B004J4X32U,The Whole-Brain Child: 12 Revolutionary Strategies to Nurture Your Child's Developing Mind,Daniel J. Siegel,4.7,12.99,False,2011-10-04,Parenting & Relationships
B0CBL7RV55,"It Starts with the Egg: How the Science of Egg Quality Can Help You Get Pregnant Naturally, Prevent Miscarriage, and Improve Your Odds in IVF",Rebecca Fett,4.7,9.99,False,,Parenting & Relationships
B07JKJCWGY,"The Girls Are Gone: The True Story of Two Sisters Who Vanished, the Father Who Kept Searching, and the Adults Who Conspired to Keep the Truth Hidden",Michael Brodkorb,3.9,0.0,False,2018-10-23,Parenting & Relationships
B01DCHZE3A,What to Expect When You're Expecting,Heidi Murkoff,4.8,11.99,False,,Parenting & Relationships
